Distance Between Stations (km),Weather Conditions,Time of Day,Train Type,Historical Delay (min),Route Congestion,
255,Rainy,Night,Superfast,69,Low,
265,Foggy,Morning,Local,76,Medium,
275,Clear,Afternoon,Express,83,High,
285,Rainy,Evening,Superfast,90,Low,
295,Foggy,Night,Local,97,Medium,
305,Clear,Morning,Express,4,High,
315,Rainy,Afternoon,Superfast,11,Low,
325,Foggy,Evening,Local,18,Medium,
335,Clear,Night,Express,25,High,
345,Rainy,Morning,Superfast,32,Low,
355,Foggy,Afternoon,Local,39,Medium,
365,Clear,Evening,Express,46,High,
375,Rainy,Night,Superfast,53,Low,
385,Foggy,Morning,Local,60,Medium,
395,Clear,Afternoon,Express,67,High,
405,Rainy,Evening,Superfast,74,Low,
415,Foggy,Night,Local,81,Medium,
425,Clear,Morning,Express,88,High,
435,Rainy,Afternoon,Superfast,95,Low,
445,Foggy,Evening,Local,2,Medium,
455,Clear,Night,Express,9,High,
465,Rainy,Morning,Superfast,16,Low,
475,Foggy,Afternoon,Local,23,Medium,
485,Clear,Evening,Express,30,High,
495,Rainy,Night,Superfast,37,Low,
505,Foggy,Morning,Local,44,Medium,
515,Clear,Afternoon,Express,51,High,
525,Rainy,Evening,Superfast,58,Low,
535,Foggy,Night,Local,65,Medium,
545,Clear,Morning,Express,72,High,
555,Rainy,Afternoon,Superfast,79,Low,
565,Foggy,Evening,Local,86,Medium,
575,Clear,Night,Express,93,High,
45,Foggy,Morning,Local,15,Medium,
70,Rainy,Afternoon,Express,25,High,
55,Clear,Evening,Superfast,35,Low,
80,Foggy,Night,Local,20,Medium,
60,Rainy,Morning,Express,30,High,
90,Clear,Afternoon,Superfast,40,Low,
75,Foggy,Evening,Local,10,Medium,
100,Rainy,Night,Express,50,High,
85,Clear,Morning,Superfast,60,Low,
110,Foggy,Afternoon,Local,5,Medium,
95,Rainy,Evening,Express,45,High,
120,Clear,Night,Superfast,55,Low,
105,Foggy,Morning,Local,0,Medium,
130,Rainy,Afternoon,Express,70,High,
115,Clear,Evening,Superfast,80,Low,
140,Foggy,Night,Local,25,Medium,
125,Rainy,Morning,Express,35,High,
150,Clear,Afternoon,Superfast,45,Low,
135,Foggy,Evening,Local,15,Medium,
160,Rainy,Night,Express,55,High,
145,Clear,Morning,Superfast,65,Low,
170,Foggy,Afternoon,Local,10,Medium,
155,Rainy,Evening,Express,40,High,
180,Clear,Night,Superfast,50,Low,
165,Foggy,Morning,Local,5,Medium,
190,Rainy,Afternoon,Express,30,High,
175,Clear,Evening,Superfast,40,Low,
200,Foggy,Night,Local,20,Medium,
185,Rainy,Morning,Express,50,High,
210,Clear,Afternoon,Superfast,60,Low,
195,Foggy,Evening,Local,15,Medium,
220,Rainy,Night,Express,35,High,
205,Clear,Morning,Superfast,45,Low,
230,Foggy,Afternoon,Local,25,Medium,
215,Rainy,Evening,Express,55,High,
240,Clear,Night,Superfast,65,Low,
225,Foggy,Morning,Local,20,Medium,
250,Rainy,Afternoon,Express,40,High,
235,Clear,Evening,Superfast,50,Low,
260,Foggy,Night,Local,30,Medium,
245,Rainy,Morning,Express,60,High,
270,Clear,Afternoon,Superfast,70,Low,
255,Foggy,Evening,Local,25,Medium,
280,Rainy,Night,Express,35,High,
265,Clear,Morning,Superfast,45,Low,
290,Foggy,Afternoon,Local,15,Medium,
275,Rainy,Evening,Express,50,High,
300,Clear,Night,Superfast,60,Low,
285,Foggy,Morning,Local,20,Medium,
310,Rainy,Afternoon,Express,40,High,
295,Clear,Evening,Superfast,50,Low,
320,Foggy,Night,Local,30,Medium,
305,Rainy,Morning,Express,60,High,
330,Clear,Afternoon,Superfast,70,Low,
315,Foggy,Evening,Local,25,Medium,
340,Rainy,Night,Express,35,High,
325,Clear,Morning,Superfast,45,Low,
350,Foggy,Afternoon,Local,15,Medium,
335,Rainy,Evening,Express,50,High,
360,Clear,Night,Superfast,60,Low,
345,Foggy,Morning,Local,20,Medium,
370,Rainy,Afternoon,Express,40,High,
355,Clear,Evening,Superfast,50,Low,
380,Foggy,Night,Local,30,Medium,
40,Clear,Morning,Local,10,Medium,
65,Rainy,Afternoon,Express,20,High,
50,Foggy,Evening,Superfast,30,Low,
75,Clear,Night,Local,15,Medium,
55,Rainy,Morning,Express,25,High,
80,Foggy,Afternoon,Superfast,35,Low,
60,Clear,Evening,Local,5,Medium,
85,Rainy,Night,Express,45,High,
65,Foggy,Morning,Superfast,55,Low,
90,Clear,Afternoon,Local,20,Medium,
70,Rainy,Evening,Express,30,High,
95,Foggy,Night,Superfast,40,Low,
75,Clear,Morning,Local,10,Medium,
100,Rainy,Afternoon,Express,50,High,
80,Foggy,Evening,Superfast,60,Low,
105,Clear,Night,Local,25,Medium,
85,Rainy,Morning,Express,35,High,
110,Foggy,Afternoon,Superfast,45,Low,
90,Clear,Evening,Local,15,Medium,
115,Rainy,Night,Express,55,High,
95,Foggy,Morning,Superfast,65,Low,
120,Clear,Afternoon,Local,30,Medium,
100,Rainy,Evening,Express,40,High,
125,Foggy,Night,Superfast,50,Low,
105,Clear,Morning,Local,5,Medium,
130,Rainy,Afternoon,Express,45,High,
110,Foggy,Evening,Superfast,55,Low,
135,Clear,Night,Local,20,Medium,
115,Rainy,Morning,Express,50,High,
140,Foggy,Afternoon,Superfast,60,Low,
120,Clear,Evening,Local,25,Medium,
145,Rainy,Night,Express,35,High,
125,Foggy,Morning,Superfast,45,Low,
150,Clear,Afternoon,Local,10,Medium,
130,Rainy,Evening,Express,55,High,
155,Foggy,Night,Superfast,65,Low,
135,Clear,Morning,Local,30,Medium,
160,Rainy,Afternoon,Express,40,High,
140,Foggy,Evening,Superfast,50,Low,
165,Clear,Night,Local,15,Medium,
145,Rainy,Morning,Express,55,High,
170,Foggy,Afternoon,Superfast,65,Low,
150,Clear,Evening,Local,20,Medium,
175,Rainy,Night,Express,35,High,
155,Foggy,Morning,Superfast,45,Low,
180,Clear,Afternoon,Local,5,Medium,
160,Rainy,Evening,Express,50,High,
185,Foggy,Night,Superfast,60,Low,
165,Clear,Morning,Local,25,Medium,
190,Rainy,Afternoon,Express,40,High,
170,Foggy,Evening,Superfast,50,Low,
195,Clear,Night,Local,30,Medium,
175,Rainy,Morning,Express,5,High,
200,Foggy,Afternoon,Superfast,45,Low,
180,Clear,Evening,Local,15,Medium,
205,Rainy,Night,Express,55,High,
185,Foggy,Morning,Superfast,65,Low,
210,Clear,Afternoon,Local,30,Medium,
190,Rainy,Evening,Express,40,High,
215,Foggy,Night,Superfast,50,Low,
195,Clear,Morning,Local,20,Medium,
220,Rainy,Afternoon,Express,55,High,
200,Foggy,Evening,Superfast,65,Low,
225,Clear,Night,Local,25,Medium,
205,Rainy,Morning,Express,35,High,
230,Foggy,Afternoon,Superfast,45,Low,
210,Clear,Evening,Local,10,Medium,
235,Rainy,Night,Express,50,High,
215,Foggy,Morning,Superfast,60,Low,
240,Clear,Afternoon,Local,30,Medium,
220,Rainy,Evening,Express,40,High,
245,Foggy,Night,Superfast,50,Low,
225,Clear,Morning,Local,15,Medium,
250,Rainy,Afternoon,Express,55,High,
230,Foggy,Evening,Superfast,65,Low,
255,Clear,Night,Local,20,Medium,High
